list_name,unique_titles
Middle Grade Paperback Monthly,53
Young Adult Paperback Monthly,68
Series Books,77
Business Books,96
Childrens Middle Grade Hardcover,123
Paperback Nonfiction,170
Audio Nonfiction,172
Young Adult Hardcover,180
Graphic Books and Manga,186
Picture Books,196
Audio Fiction,207
Trade Fiction Paperback,231
Advice How-To and Miscellaneous,286
Mass Market Monthly,360
Combined Print and E-Book Nonfiction,514
Hardcover Nonfiction,525
Hardcover Fiction,540
Combined Print and E-Book Fiction,543
