title,publisher,list_name,teams,published_date
IT STARTS WITH US,Atria,Combined Print and E-Book Fiction,Team Jake,2023-01-01 00:00:00
LESSONS IN CHEMISTRY,Doubleday,Combined Print and E-Book Fiction,Team Pete,2023-01-01 00:00:00
THE LIGHT WE CARRY,Crown,Combined Print and E-Book Nonfiction,Team Jake,2023-01-01 00:00:00
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Flatiron,Combined Print and E-Book Nonfiction,Team Pete,2023-01-01 00:00:00
LESSONS IN CHEMISTRY,Doubleday,Hardcover Fiction,Team Jake,2023-01-01 00:00:00
FAIRY TALE,Scribner,Hardcover Fiction,Team Pete,2023-01-01 00:00:00
THE LIGHT WE CARRY,Crown,Hardcover Nonfiction,Team Jake,2023-01-01 00:00:00
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Flatiron,Hardcover Nonfiction,Team Pete,2023-01-01 00:00:00
IT STARTS WITH US,Atria,Trade Fiction Paperback,Team Jake,2023-01-01 00:00:00
VERITY,Grand Central,Trade Fiction Paperback,Team Pete,2023-01-01 00:00:00
THE BODY KEEPS THE SCORE,Penguin,Paperback Nonfiction,Team Jake,2023-01-01 00:00:00
ALL ABOUT LOVE,Morrow,Paperback Nonfiction,Team Pete,2023-01-01 00:00:00
ATOMIC HABITS,Avery,Advice How-To and Miscellaneous,Team Jake,2023-01-01 00:00:00
GO-TO DINNERS,Clarkson Potter,Advice How-To and Miscellaneous,Team Pete,2023-01-01 00:00:00
THE COMPLETE COOKBOOK FOR YOUNG CHEFS,Sourcebooks Jabberwocky,Childrens Middle Grade Hardcover,Team Jake,2023-01-01 00:00:00
THE COMPLETE BAKING BOOK FOR YOUNG CHEFS,Sourcebooks Explore,Childrens Middle Grade Hardcover,Team Pete,2023-01-01 00:00:00
HOW TO CATCH AN ELF,Sourcebooks Jabberwocky,Picture Books,Team Jake,2023-01-01 00:00:00
THE DAY THE CRAYONS QUIT,Philomel,Picture Books,Team Pete,2023-01-01 00:00:00
DIARY OF A WIMPY KID,Amulet,Series Books,Team Jake,2023-01-01 00:00:00
PERCY JACKSON & THE OLYMPIANS,Disney-Hyperion,Series Books,Team Pete,2023-01-01 00:00:00
LONG LIVE THE PUMPKIN QUEEN,Disney,Young Adult Hardcover,Team Jake,2023-01-01 00:00:00
THE FIRST TO DIE AT THE END,Quill Tree,Young Adult Hardcover,Team Pete,2023-01-01 00:00:00
FAIRY TALE,Simon & Schuster Audio,Audio Fiction,Team Jake,2023-01-01 00:00:00
IT STARTS WITH US,Simon & Schuster Audio,Audio Fiction,Team Pete,2023-01-01 00:00:00
THE LIGHT WE CARRY,Random House Audio,Audio Nonfiction,Team Jake,2023-01-01 00:00:00
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Macmillan Audio,Audio Nonfiction,Team Pete,2023-01-01 00:00:00
ATOMIC HABITS,Avery,Business Books,Team Jake,2023-01-01 00:00:00
DARE TO LEAD,Random House,Business Books,Team Pete,2023-01-01 00:00:00
COLLABORATIONS,Scholastic,Graphic Books and Manga,Team Jake,2023-01-01 00:00:00
"CHAINSAW MAN, VOL. 1",VIZ Media,Graphic Books and Manga,Team Pete,2023-01-01 00:00:00
THE JUDGE'S LIST,Vintage,Mass Market Monthly,Team Jake,2023-01-01 00:00:00
INVISIBLE,Dell,Mass Market Monthly,Team Pete,2023-01-01 00:00:00
WISH,Square Fish,Middle Grade Paperback Monthly,Team Jake,2023-01-01 00:00:00
THE ONE AND ONLY IVAN,HarperCollins,Middle Grade Paperback Monthly,Team Pete,2023-01-01 00:00:00
GIRL IN PIECES,Ember,Young Adult Paperback Monthly,Team Jake,2023-01-01 00:00:00
THEY BOTH DIE AT THE END,Quill Tree,Young Adult Paperback Monthly,Team Pete,2023-01-01 00:00:00
IT STARTS WITH US,Atria,Combined Print and E-Book Fiction,Team Jake,2023-01-08 00:00:00
LESSONS IN CHEMISTRY,Doubleday,Combined Print and E-Book Fiction,Team Pete,2023-01-08 00:00:00
THE LIGHT WE CARRY,Crown,Combined Print and E-Book Nonfiction,Team Jake,2023-01-08 00:00:00
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Flatiron,Combined Print and E-Book Nonfiction,Team Pete,2023-01-08 00:00:00
LESSONS IN CHEMISTRY,Doubleday,Hardcover Fiction,Team Jake,2023-01-08 00:00:00
THE BOYS FROM BILOXI,Doubleday,Hardcover Fiction,Team Pete,2023-01-08 00:00:00
THE LIGHT WE CARRY,Crown,Hardcover Nonfiction,Team Jake,2023-01-08 00:00:00
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Flatiron,Hardcover Nonfiction,Team Pete,2023-01-08 00:00:00
