publisher,points,quarter_start
Scholastic,309,2021-01-01
Random House Audio,193,2021-01-01
Crown,158,2021-01-01
HarperCollins,145,2021-01-01
Avon,145,2021-01-01
"Little, Brown",134,2021-01-01
Amulet,94,2021-01-01
Avery,93,2021-01-01
St. Martin's,93,2021-01-01
Ember,89,2021-01-01
Random House,89,2021-01-01
Knopf,87,2021-01-01
Balzer + Bray,87,2021-01-01
Delacorte,87,2021-01-01
Houghton Mifflin Harcourt,77,2021-01-01
Penguin Audio,70,2021-01-01
Penguin,65,2021-01-01
Simon & Schuster,64,2021-01-01
Grand Central,60,2021-01-01
HarperOne,58,2021-01-01
Riverhead,55,2021-01-01
Andrews McMeel,54,2021-01-01
Quill Tree,52,2021-01-01
Viking,48,2021-01-01
Square Fish,44,2021-01-01
Macmillan Audio,42,2021-01-01
Dell,37,2021-01-01
VIZ Media,36,2021-01-01
Dial,36,2021-01-01
Recorded Books,36,2021-01-01
St. Martin’s Griffin,35,2021-01-01
Norton,35,2021-01-01
Beacon,29,2021-01-01
HarperAudio,28,2021-01-01
Sourcebooks Jabberwocky,28,2021-01-01
Ecco,25,2021-01-01
One World,25,2021-01-01
Tim Duggan,22,2021-01-01
Disney-Hyperion,22,2021-01-01
Doubleday,20,2021-01-01
Penguin Press,20,2021-01-01
Algonquin,20,2021-01-01
Celadon,20,2021-01-01
Atria/Emily Bestler,19,2021-01-01
Kokila,19,2021-01-01
Grosset & Dunlap,18,2021-01-01
Hard Case Crime,17,2021-01-01
Harper,17,2021-01-01
Milkweed Editions,17,2021-01-01
Putnam,17,2021-01-01
Bloomsbury,16,2021-01-01
Morrow,16,2021-01-01
Ballantine,16,2021-01-01
Gallery,16,2021-01-01
Brilliance Audio,16,2021-01-01
Harper Perennial,14,2021-01-01
Thomas Nelson,14,2021-01-01
Tor/Forge,13,2021-01-01
Anchor,13,2021-01-01
Penguin Workshop,13,2021-01-01
Atria,13,2021-01-01
Berkley,12,2021-01-01
Aladdin,12,2021-01-01
Puffin,12,2021-01-01
Clarkson Potter,11,2021-01-01
St. Martin's Griffin,11,2021-01-01
Del Rey,11,2021-01-01
Feiwel & Friends,10,2021-01-01
Pinnacle,10,2021-01-01
Vintage,10,2021-01-01
Margaret K. McElderry,10,2021-01-01
Disney Lucasfilm,9,2021-01-01
Pamela Dorman,8,2021-01-01
WaterBrook,8,2021-01-01
Roaring Brook,8,2021-01-01
"Farrar, Straus & Giroux",8,2021-01-01
Silhouette,8,2021-01-01
Penguin/Portfolio,7,2021-01-01
Flatiron,7,2021-01-01
Penguin Life,7,2021-01-01
Northfield,6,2021-01-01
HarperFestival,6,2021-01-01
Harper Wave,6,2021-01-01
Sourcebooks Wonderland,5,2021-01-01
Podium Audio,5,2021-01-01
Sourcebooks Fire,5,2021-01-01
Quirk/Penguin,5,2021-01-01
Chronicle,4,2021-01-01
Dutton,4,2021-01-01
Center Street,4,2021-01-01
Atheneum/Caitlyn Dlouhy,4,2021-01-01
"Little, Brown Spark",3,2021-01-01
Entangled Teen,3,2021-01-01
Grove,3,2021-01-01
Minotaur,3,2021-01-01
Twelve,3,2021-01-01
Philomel,3,2021-01-01
Stepping Stone/Random House,1,2021-01-01
National Geographic,1,2021-01-01
Convergent,1,2021-01-01
Hearst Home Kids,1,2021-01-01
Seal,1,2021-01-01
NYLA,1,2021-01-01
Milkweed,1,2021-01-01
jimmy patterson-HMH,1,2021-01-01
Running Press,1,2021-01-01
Hachette Audio,0,2021-01-01
Portfolio/Penguin,0,2021-01-01
Hyperion/Disney,0,2021-01-01
Central Recovery,0,2021-01-01
Top Shelf Productions,0,2021-01-01
Haymarket,0,2021-01-01
Scribner,0,2021-01-01
"Melcher/MCD/Farrar, Straus & Giroux",0,2021-01-01
Sourcebooks Explore,0,2021-01-01
Brilliance,0,2021-01-01
Morrow Gift,0,2021-01-01
HQN,0,2021-01-01
Lioncrest,0,2021-01-01
jimmy patterson,0,2021-01-01
Hogarth,0,2021-01-01
Picador,0,2021-01-01
Wednesday,0,2021-01-01
Zebra/Kensington,0,2021-01-01
Revell,0,2021-01-01
Rodale,0,2021-01-01
Avid Reader/Simon & Schuster,0,2021-01-01
Portfolio,0,2021-01-01
Workman,0,2021-01-01
HarperTeen,0,2021-01-01
Melville House,0,2021-01-01
Beacon Press,0,2021-01-01
Orchard,0,2021-01-01
