title,weeks_as_top_3
IT ENDS WITH US,106
ATOMIC HABITS,103
WHERE THE CRAWDADS SING,91
THE BODY KEEPS THE SCORE,89
VERITY,69
THEY BOTH DIE AT THE END,52
DIARY OF A WIMPY KID,50
I'M GLAD MY MOM DIED,49
THE ONE AND ONLY IVAN,47
GREENLIGHTS,44
WONDER,42
WE WERE LIARS,40
BRAIDING SWEETGRASS,36
HARRY POTTER,36
ONE OF US IS LYING,32
THE SEVEN HUSBANDS OF EVELYN HUGO,32
REFUGEE,32
FINDING ME,32
RESTART,31
ON PURPOSE,31
A LONG WALK TO WATER,30
ATLAS OF THE HEART,30
GIRL IN PIECES,30
DARE TO LEAD,30
A GOOD GIRL'S GUIDE TO MURDER,28
FAIRY TALE,28
WILL,27
ALL ABOUT LOVE,26
IT STARTS WITH US,24
WISH,22
"RUN, ROSE, RUN",22
"THE BOY, THE MOLE, THE FOX AND THE HORSE",21
THE 1619 PROJECT,20
THE INHERITANCE GAMES,19
THE WONDERFUL THINGS YOU WILL BE,18
THE SUMMER I TURNED PRETTY TRILOGY,18
THE JUDGE'S LIST,18
PERSPECTIVES,17
LONG LIVE THE PUMPKIN QUEEN,17
KILLING THE KILLERS,17
RED-HANDED,16
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",16
FROM STRENGTH TO STRENGTH,15
SKANDAR AND THE UNICORN THIEF,14
EDUCATED,13
FREEZING ORDER,13
PRINCIPLES FOR DEALING WITH THE CHANGING WORLD ORDER,13
HAPPY-GO-LUCKY,13
THE BOYS FROM BILOXI,13
JAMES PATTERSON,12
SPARRING PARTNERS,12
THE STORYTELLER,12
THE LIGHT WE CARRY,12
THE MAID,12
FAMILY OF LIARS,12
ALL GOOD PEOPLE HERE,11
CREEPY CRAYON!,10
THE FIRST TO DIE AT THE END,10
THE PARIS APARTMENT,10
APPLES NEVER FALL,9
BETTER OFF DEAD,9
JESSI'S SECRET LANGUAGE,9
SCARS AND STRIPES,9
DAUGHTER OF THE DEEP,9
NINE LIVES,9
BATTLE FOR THE AMERICAN MIND,9
I AM NOT YOUR PERFECT MEXICAN DAUGHTER,9
OUT OF MY MIND,9
CONFIDENCE MAN,8
UNTHINKABLE,8
GALLANT,8
MAUS I: A SURVIVOR'S TALE: MY FATHER BLEEDS HISTORY,8
"HELLO, MOLLY!",8
HOCUS POCUS: The Illustrated Novelization,8
"HEARTSTOPPER, VOL. 1",8
THE MIDNIGHT LIBRARY,7
THE HOTEL NANTUCKET,7
THE HOCUS POCUS SPELL BOOK,7
DRAGONS LOVE TACOS,7
HOUSE OF SKY AND BREATH,7
THE CHRISTMAS PIG,7
THE MOTHERS AND DAUGHTERS OF THE BIBLE SPEAK,7
BOOK LOVERS,7
NANA LOVES YOU MORE,7
THE COMPLETE COOKBOOK FOR YOUNG CHEFS,7
THE SPLENDID AND THE VILE,7
GO-TO DINNERS,7
ABANDONED IN DEATH,6
BREAKING HISTORY,6
THE HOUSE OF GUCCI,6
LOVELESS,6
HOW TO CATCH THE EASTER BUNNY,6
22 SECONDS,6
LITTLE BLUE TRUCK'S VALENTINE,6
ONE DAMN THING AFTER ANOTHER,6
THIS WILL NOT PASS,6
IN THE BLOOD,6
I'M SO GLAD YOU WERE BORN,6
THE LOST METAL,6
ANATOMY,6
THE PIGEON HAS TO GO TO SCHOOL!,6
CHANGE SINGS,5
NEIGHBORS,5
WINGS OF FIRE,5
THE GOLDEN COUPLE,5
"JUJUTSU KAISEN, VOL. 15",5
1ST CASE,5
"SPY X FAMILY, VOL. 1",5
THE 6:20 MAN,5
LIKE A ROLLING STONE,5
THE EYE OF THE WORLD,5
LEVIATHAN FALLS,5
LOST,5
DREAM TOWN,5
THE DAUGHTER OF AUSCHWITZ,5
LIVE WIRE,5
THE BOOK OF BOUNDARIES,5
INVISIBLE,5
OCEAN PREY,5
"CHAINSAW MAN, VOL. 11",5
THE RETURN,5
COMPLICATIONS,5
LITTLE BLUE TRUCK MAKES A FRIEND,5
2 SISTERS DETECTIVE AGENCY,5
LOVE FROM THE VERY HUNGRY CATERPILLAR,5
LIFE FORCE,5
THE MYTH OF NORMAL,5
"SPY X FAMILY, VOL. 8",5
ODDER,5
MOTHERING HEIGHTS,5
CAT KID COMIC CLUB,5
THICK AS THIEVES,5
I KISSED SHARA WHEELER,5
THE GIRL WHO DRANK THE MOON,5
CHAINSAW MAN VOL. 10,5
"MY HERO ACADEMIA, VOL. 30",4
"LORE OLYMPUS, VOL. 2",4
PATH LIT BY LIGHTNING,4
THE BAD GUYS IN THE OTHERS?!,4
SOOLEY,4
THE FEAR,4
IT'S BETTER THIS WAY,4
"TIME FOR SCHOOL, LITTLE BLUE TRUCK",4
YOU'VE REACHED SAM,4
FORGOTTEN IN DEATH,4
WE DON'T EAT OUR CLASSMATES!,4
THREE WOMEN DISAPPEAR,4
THE TRUMP TAPES,4
FLYING ANGELS,4
THE PARIS DETECTIVE,4
SHE'S GONE,4
CONSTRUCTION SITE ON CHRISTMAS NIGHT,4
STACEY’S EXTRAORDINARY WORDS,4
LITTLE LEGENDS: EXCEPTIONAL MEN IN BLACK HISTORY,4
HOW TO CATCH A LEPRECHAUN,4
DAYLIGHT,4
THE BAD GUYS IN OPEN WIDE AND SAY ARRRGH!,4
"JUJUTSU KAISEN, VOL. 17",4
"LORE OLYMPUS, VOL. 3",4
"MY HERO ACADEMIA, VOL. 32",4
SURRENDER,4
THE SOUR GRAPE,4
CALL US WHAT WE CARRY,4
PROJECT HAIL MARY,4
DEMON SLAYER: KIMETSU NO YAIBA--STORIES OF WATER AND FLAME,4
HIGHLAND WOLF,4
THE BUTLER,4
ALL OF US VILLAINS,4
ADRIFT,4
THE BRIGHTEST NIGHT,4
STOLEN FOCUS,4
"GOOD-BYE STACEY, GOOD-BYE",4
FAST ICE,4
THE SUMMER HOUSE,4
MAP OF FLAMES,4
THE STRANGER IN THE LIFEBOAT,4
THE AFFAIR,4
TOUGH CUSTOMER,4
FINDING ASHLEY,4
THE PALM BEACH MURDERS,4
THE ACCIDENTAL APPRENTICE,4
CRYING IN H MART,4
WELCOME TO THE UNIVERSE IN 3D,4
"HEARTSTOPPER, VOL. 2",4
PORTRAIT OF AN UNKNOWN WOMAN,4
AND THERE WAS LIGHT,4
FAITH STILL MOVES MOUNTAINS,4
"THINKING, FAST AND SLOW",4
COLLABORATIONS,4
HOW TO CATCH AN ELF,4
CRAVE,4
I WISH YOU MORE,4
COUNTRY BORN,4
THE ONE AND ONLY BOB,4
THANK YOU FOR YOUR SERVITUDE,4
OUTLIERS,4
THE COAST-TO-COAST MURDERS,4
THE YEAR OF MAGICAL THINKING,3
THE HATE U GIVE,3
NIGHTWORK,3
YOU'LL BE THE DEATH OF ME,3
THE LAST CUENTISTA,3
LESSONS FROM THE EDGE,3
AMARI AND THE GREAT GAME,3
KILLING THE LEGENDS,3
WHY A DAUGHTER NEEDS A DAD,3
DREAMLAND,3
HOW TO CATCH A TURKEY,3
BLADE BREAKER,3
NO PLAN B,3
THE LINCOLN HIGHWAY,3
LITTLE LEADERS,3
SHADOWS REEL,3
PERCY JACKSON & THE OLYMPIANS,3
HALF BAKED HARVEST EVERY DAY,3
SEA OF TRANQUILITY,3
THE COMPLETE BAKING BOOK FOR YOUNG CHEFS,3
PETE THE CAT: BIG EASTER ADVENTURE,3
BITTERSWEET,3
VIOLET MADE OF THORNS,3
THE PIGEON WILL RIDE THE ROLLER COASTER!,3
THE SONG OF ACHILLES,2
AIN'T BURNED ALL THE BRIGHT,2
HOW TO BE PERFECT,2
THE NINETIES,2
THE INVESTIGATOR,2
THE DAY THE CRAYONS QUIT,2
THE SIMPLY HAPPY COOKBOOK,2
TWO DEGREES,2
THE CHOICE,2
"DIRTBAG, MASSACHUSETTS",2
HOLDING THE LINE,2
LONG SHADOWS,2
KEEPER OF THE LOST CITIES,2
DIABLO MESA,2
RECESSIONAL,2
BEAUTIFUL,2
"I'D LIKE TO PLAY ALONE, PLEASE",2
AN IMMENSE WORLD,2
THE MAZE,2
BLOODMARKED,2
FIVE SURVIVE,2
SOMETHING TO HIDE,2
COMEDY COMEDY COMEDY DRAMA,2
THE MATCH,2
